
id,conversation_id,pet_id
1,208294,296577
2,208294,296578
3,208295,296576
4,208296,296575
5,208297,296573
6,208297,296574
7,208298,296571
8,208299,296569
9,208299,296570
10,208300,296568
11,208301,296567
12,208302,296566
13,208303,296563
14,208303,296564
15,208303,296565
16,208304,296561
17,208305,296560
18,208306,296557
19,208306,296558
20,208306,296559
21,208307,296553
22,208308,296552
23,208309,296549
24,208309,296550
25,208309,296551
26,208310,296547
27,208310,296548
28,208311,296544
29,208311,296543
30,208312,296544
31,208312,296543
32,208313,296539
33,208313,296540
34,208314,296537
35,208315,296536
36,208316,296533
37,208317,296531
38,208317,296532
39,208318,296528
40,208318,296529
41,208318,296530
42,208319,296526
43,208319,296527
44,208320,296525
45,208321,296525
46,208322,296523
47,208322,296524
48,208323,296520
49,208324,296519
50,208325,296518
51,208326,296517
52,208327,296516
53,208328,296515
54,208329,296513
55,208329,296514
56,208330,296512
57,208331,296511
58,208332,296509
59,208333,296506
60,208333,296507
61,208333,296508
62,208334,296504
63,208334,296505
64,208334,296503
65,208335,296502
66,208336,296501
67,208337,296498
68,208338,296495
69,208339,296495
70,208340,296489
71,208340,296490
72,208341,296488
73,208342,296484
74,208343,296481
75,208343,296482
76,208343,296483
77,208344,296479
78,208345,296477
79,208346,296476
80,208347,296473
81,208348,296472
82,208349,296471
83,208350,296470
84,208351,296466
85,208352,296460
86,208352,296461
87,208352,296462
88,208353,296458
89,208353,296459
90,208354,296456
91,208355,296455
92,208356,296452
93,208356,296453
94,208356,296454
95,208357,296451
96,208358,296450
97,208359,296449
98,208360,296448
99,208360,296447
100,208361,296446
101,208362,296443
102,208362,296444
103,208362,296445
104,208363,296440
105,208363,296441
106,208364,296438
107,208364,296439
108,208365,296437
109,208366,296437
110,208367,296436
111,208368,296433
112,208369,296432
113,208370,296429
114,208370,296430
115,208370,296431
116,208371,296428
117,208372,296427
118,208373,296426
119,208374,296424
120,208375,296423
121,208376,296422
122,208377,296421
123,208378,296419
124,208379,296417
125,208379,296418
126,208380,296416
127,208380,296415
128,208381,296412
129,208381,296413
130,208381,296414
131,208382,296409
132,208383,296408
133,208384,296406
134,208384,296407
135,208385,296405
136,208386,296404
137,208387,296401
138,208387,296402
139,208387,296403
140,208388,296400
141,208389,296400
142,208390,296399
143,208391,296397
144,208391,296398
145,208392,296396
146,208393,296392
147,208393,296393
148,208393,296394
149,208394,296389
150,208394,296390
151,208394,296391
152,208395,296388
153,208396,296386
154,208396,296387
155,208397,296385
156,208398,296384
157,208399,296383
158,208400,296382
159,208401,296381
160,208402,296379
161,208402,296380
162,208403,296378
163,208404,296378
164,208405,296376
165,208405,296377
166,208406,296375
167,208407,296375
168,208408,296374
169,208409,296373
170,208410,296373
171,208411,296371
172,208411,296372
173,208412,296369
174,208413,296363
175,208414,296361
176,208414,296362
177,208415,296360
178,208415,296358
179,208415,296359
180,208416,296357
181,208417,296355
182,208418,296354
183,208419,296353
184,208420,296352
185,208421,296349
186,208421,296350
187,208422,296348
188,208423,296348
189,208424,296340
190,208424,296341
191,208424,296342
192,208425,296338
193,208425,296339
194,208426,296336
195,208426,296337
196,208426,296335
197,208427,296334
198,208428,296333
199,208429,296330
200,208429,296331
201,208429,296332
202,208430,296326
203,208430,296327
204,208431,296325
205,208432,296323
