
id,content,stars,conversation_id,reviewer_id
73828,"Curae donec quam quisque quam.",4,208294,2617
73829,"Risus donec scelerisque ultrices commodo nulla.",5,208296,64414
73830,"Morbi etiam neque ornare curae senectus nunc blandit habitasse inceptos eget volutpat nec iaculis ac elit.",5,208298,3312
73831,"Lorem ipsum orci velit varius adipiscing nulla.",5,208299,64410
73832,"Morbi magna sed fusce facilisis orci condimentum potenti.",5,208302,64407
73833,"Fames porta nullam pede netus eu tortor consectetuer ultricies porta nulla tellus.",5,208304,64404
73834,"Ipsum proin cum ante.",4,208307,64400
73835,"Curae purus nec duis.",5,208308,64399
73836,"Curae metus quisque at.",5,208310,64397
73837,"Fusce lorem nec consequat auctor maecenas vestibulum.",1,208314,64391
73838,"Etiam purus gravida mattis proin eni purus facilisis dictumst congue.",5,208316,64388
73839,"Metus velit dui odio.",5,208317,64387
73840,"Risus velit mattis.",5,208317,6018
73841,"Nulla donec felis taciti nibh eni.",5,208319,64385
73842,"Augue etiam suspendisse maecenas posuere.",5,208320,64384
73843,"Purus augue phasellus ante malesuada sapien pharetra.",5,208321,64384
73844,"Purus velit leo nibh nullam consequat.",5,208322,64383
73845,"Magna neque.",5,208322,2026
73846,"Netus risus duis nonummy rhoncus.",5,208324,64380
73847,"Class neque molestie ut suspendisse erat eros fames porta nulla sed tortor praesent facilisis nunc hac.",5,208325,64379
73848,"Class donec montes enim dolor nullam pede.",5,208327,64377
73849,"Felis lacus.",5,208331,64373
73850,"Fames augue vel eros in vehicula nunc duis.",5,208331,9000
73851,"Justo lacus magna ornare ve.",5,208334,64369
73852,"Velit dolor platea sociis conubia sem id tristique parturient erat.",3,208334,11218
73853,"Fames neque gravida tellus erat quam dis quisque ac cras nullam platea magna.",5,208337,77
73854,"Lacus dolor.",5,208338,64363
73855,"Velit netus dolor dictumst at.",1,208346,4779
73856,"Purus donec.",5,208347,64347
73857,"Morbi proin mattis nisl nibh massa vehicula porta montes bibendum commodo.",5,208351,64342
73858,"Porta velit tortor id urna facilisi.",5,208352,64340
73859,"Augue nulla.",5,208354,64337
73860,"Morbi ipsum pharetra vestibulum primis ve maecenas euismod elit cras facilisis tempor metus.",1,208355,64336
73861,"Augue magna mollis pulvinar condimentum.",5,208359,5268
73862,"Risus felis.",1,208366,64325
73863,"Justo porta nostra malesuada porta class iaculis.",2,208366,8573
73864,"Fames lacus.",5,208369,64321
73865,"Morbi vitae sem diam inceptos bibendum.",5,208370,64320
73866,"Fames class orci suscipit.",5,208383,64304
73867,"Netus nulla litora velit ligula.",5,208384,64303
73868,"Vitae lacus a ante ve elit hymenaeos risus nisl elit arcu cubilia.",5,208386,64301
73869,"Velit proin.",1,208387,64300
73870,"Proin morbi nascetur proin nibh ultrices ullamcorper accumsan.",5,208388,64299
73871,"Felis morbi neque posuere malesuada interdum.",5,208391,64297
73872,"Morbi felis.",3,208391,8082
73873,"Justo morbi porta taciti praesent phasellus a sem tincidunt fames a feugiat ligula.",1,208401,64286
73874,"Morbi porta aenean donec feugiat justo.",4,208401,9047
73875,"Morbi etiam aptent.",5,208403,64284
73876,"Etiam nulla.",5,208406,64282
73877,"Etiam neque tellus hendrerit justo mi eros sapien at lobortis cras sit curae justo congue scelerisque massa montes.",5,208407,64282
73878,"Morbi risus lacus orci.",5,208407,10142
73879,"Vitae magna ullamcorper non odio.",5,208409,64280
73880,"Magna morbi purus magna augue dis vivamus.",5,208409,2231
73881,"Vitae morbi nunc natoque magna nec.",5,208410,64280
73882,"Felis purus a aptent eros.",5,208413,64274
73883,"Metus class.",5,208414,64273
73884,"Ipsum netus massa inceptos.",5,208425,64259
73885,"Augue neque tempor penatibus ac orci magna consequat elementum lacus amet.",5,208425,6859
73886,"Lacus vitae laoreet inceptos donec id auctor integer commodo quam.",5,208428,64256
73887,"Proin neque sociis condimentum.",2,208429,64255
73888,"Lorem morbi semper morbi viverra nibh ante malesuada.",5,208432,64250
73889,"Ipsum morbi congue tempor cubilia euismod.",5,208435,64245
73890,"Massa vitae etiam mus odio in sit.",5,208439,64239
73891,"Felis neque nisl elit aliquam.",5,208440,163
73892,"Massa purus vel diam neque ridiculus adipiscing duis netus hendrerit vel rhoncus.",5,208444,64231
73893,"Lorem ipsum nunc semper cubilia litora duis mollis nam.",5,208448,64225
73894,"Velit morbi dictumst ad turpis placerat fusce lacinia cum sociosqu viverra.",5,208449,64223
73895,"Netus morbi cum nunc neque rhoncus per conubia.",5,208455,64215
73896,"Fames morbi.",5,208467,64199
73897,"Purus vitae ipsum semper purus potenti habitant nulla maecenas.",1,208467,1542
73898,"Porta dolor pretium tellus ad vivamus.",5,208473,64191
73899,"Fusce purus.",5,208473,9107
73900,"Fusce metus.",5,208476,64188
73901,"Neque risus torquent augue a amet id.",5,208477,64187
73902,"Nulla neque placerat lacus ipsum sociosqu nam eu.",5,208479,64184
73903,"Proin fusce neque libero lacus suscipit ridiculus sollicitudin parturient elit convallis sagittis turpis.",5,208483,64180
73904,"Velit class.",5,208490,64170
73905,"Porta morbi natoque aptent at massa platea curae suspendisse id varius ridiculus.",5,208491,64169
73906,"Porta felis lectus neque dolor lobortis parturient.",5,208492,64168
73907,"Fusce neque.",5,208492,12350
73908,"Purus magna vel lorem elit amet laoreet fusce eni mauris.",5,208495,64161
73909,"Purus risus dis ante eu.",4,208499,5710
73910,"Netus purus torquent.",5,208503,64149
73911,"Vitae magna.",5,208508,64143
73912,"Neque netus luctus.",5,208508,8019
73913,"Purus class.",5,208511,64139
73914,"Lorem ipsum a duis mi.",5,208513,64136
73915,"Proin massa eget maecenas lorem sollicitudin risus.",5,208513,3018
73916,"Class purus a dapibus.",5,208514,64135
73917,"Fusce lorem congue nibh odio sociis.",5,208516,64132
73918,"Fusce morbi potenti fusce id a.",3,208518,8458
