
id,service_type,cancellation_policy,can_provide_oral_medication,can_provide_injected_medication,senior_dog_experience,special_needs_experience,takes_small_dogs,takes_medium_dogs,takes_large_dogs,takes_puppies,max_dogs,provider_id,fee,price,added
77127,boarding,strict,1,0,1,1,0,1,0,0,2,1,0.15,35,"2015-07-12 15:13:16.673652"
77128,boarding,strict,1,0,1,0,1,0,0,1,2,2,0.15,35,"2015-07-12 13:44:21.949482"
77129,dog-walking,flexible,1,0,1,0,1,1,0,1,6,3,0.15,24,"2015-07-12 11:36:06.992714"
77130,dog-walking,flexible,0,0,1,0,1,1,1,1,3,4,0.15,24,"2015-07-12 12:23:43.627071"
77131,boarding,strict,1,0,1,1,1,1,1,1,5,5,0.15,34,"2015-07-12 07:40:36.724086"
77132,boarding,strict,1,0,1,0,1,1,1,0,2,6,0.15,34,"2015-07-12 11:18:40.410251"
77133,day-care,flexible,1,0,0,0,1,1,1,1,3,6,0.15,30,"2015-07-12 11:18:40.410251"
77134,boarding,moderate,0,1,1,1,0,1,0,1,4,7,0.15,39,"2015-07-12 19:48:21.073046"
77135,day-care,strict,1,0,1,1,1,0,0,0,1,7,0.15,28,"2015-07-12 19:48:21.073046"
77136,dog-walking,strict,0,0,1,0,1,1,1,0,7,8,0.15,22,"2015-07-12 12:01:51.756294"
77137,day-care,strict,1,0,1,0,0,1,0,1,2,8,0.15,29,"2015-07-12 12:01:51.756294"
77138,dog-walking,strict,1,1,1,0,1,1,1,1,3,9,0.15,26,"2015-07-12 16:30:27.866647"
77139,day-care,strict,0,0,1,0,1,1,0,0,5,9,0.15,26,"2015-07-12 16:30:27.866647"
77140,day-care,flexible,0,0,1,0,1,1,0,1,3,10,0.15,33,"2015-07-12 15:32:31.386474"
77141,dog-walking,moderate,1,0,1,1,1,1,0,1,4,11,0.15,19,"2015-07-12 09:53:03.647329"
77142,boarding,moderate,1,0,1,1,1,1,0,1,6,12,0.15,31,"2015-07-12 08:44:58.701046"
77143,dog-walking,strict,1,0,1,1,1,1,1,1,4,12,0.15,18,"2015-07-12 08:44:58.701046"
77144,boarding,moderate,1,0,1,0,1,1,0,1,4,13,0.15,41,"2015-07-12 07:46:02.654845"
77145,day-care,strict,1,0,0,0,1,1,0,1,3,13,0.15,29,"2015-07-12 07:46:02.654845"
77146,dog-walking,flexible,1,0,0,1,1,0,0,0,2,14,0.15,27,"2015-07-12 07:40:36.417338"
77147,boarding,flexible,1,0,1,0,1,1,1,1,3,15,0.15,32,"2015-07-12 09:56:44.694833"
77148,dog-walking,moderate,1,0,1,0,1,1,0,1,3,16,0.15,25,"2015-07-12 18:47:50.472888"
77149,day-care,strict,0,0,1,1,1,1,1,1,3,16,0.15,27,"2015-07-12 18:47:50.472888"
77150,boarding,strict,1,0,1,1,1,1,1,1,1,17,0.15,40,"2015-07-12 17:23:21.556556"
77151,dog-walking,moderate,1,0,1,1,1,1,0,1,3,17,0.15,21,"2015-07-12 17:23:21.556556"
77152,day-care,moderate,1,0,1,0,1,1,1,1,4,17,0.15,29,"2015-07-12 17:23:21.556556"
77153,boarding,moderate,1,1,1,0,1,1,0,0,5,18,0.15,27,"2015-07-12 09:16:14.996520"
77154,dog-walking,strict,1,1,1,0,1,1,0,0,5,18,0.15,23,"2015-07-12 09:16:14.996520"
77155,dog-walking,moderate,1,0,1,1,1,1,1,1,4,19,0.15,22,"2015-07-12 17:27:01.492380"
77156,day-care,flexible,1,0,1,0,1,1,0,1,4,19,0.15,29,"2015-07-12 17:27:01.492380"
77157,boarding,strict,1,0,1,0,1,1,1,1,3,20,0.15,38,"2015-07-12 09:22:20.276829"
77158,dog-walking,moderate,1,0,1,0,1,1,0,1,4,20,0.15,25,"2015-07-12 09:22:20.276829"
77159,dog-walking,strict,1,0,1,0,1,1,0,1,3,21,0.15,21,"2015-07-12 12:36:22.247763"
77160,day-care,moderate,1,0,1,0,1,1,1,1,6,21,0.15,23,"2015-07-12 12:36:22.247763"
77161,boarding,moderate,1,1,1,0,0,1,1,1,3,22,0.15,31,"2015-07-12 05:27:01.411705"
77162,day-care,moderate,1,0,1,0,1,1,0,1,5,22,0.15,30,"2015-07-12 05:27:01.411705"
77163,boarding,moderate,1,0,1,1,0,1,1,1,3,23,0.15,30,"2015-07-12 17:48:19.788652"
77164,dog-walking,flexible,1,0,1,0,1,1,1,0,6,23,0.15,22,"2015-07-12 17:48:19.788652"
77165,dog-walking,flexible,1,1,1,0,1,1,0,1,3,24,0.15,19,"2015-07-12 09:58:08.841183"
77166,day-care,strict,1,0,1,1,0,1,1,0,4,25,0.15,28,"2015-07-12 07:05:07.631599"
77167,boarding,flexible,1,1,1,0,1,1,1,1,4,26,0.15,30,"2015-07-12 08:55:55.160564"
77168,dog-walking,moderate,1,0,1,0,1,1,1,1,2,27,0.15,24,"2015-07-12 07:54:51.066149"
77169,day-care,moderate,1,0,1,0,1,1,1,1,5,27,0.15,30,"2015-07-12 07:54:51.066149"
77170,day-care,strict,1,0,1,1,1,1,1,1,6,28,0.15,25,"2015-07-12 15:36:25.256090"
77171,dog-walking,flexible,0,1,1,0,1,1,0,1,4,29,0.15,22,"2015-07-12 15:16:43.172860"
77172,boarding,flexible,1,0,1,1,1,1,1,0,6,30,0.15,35,"2015-07-12 09:49:22.679628"
77173,dog-walking,strict,1,0,1,1,0,1,1,1,3,31,0.15,27,"2015-07-12 13:44:23.595785"
77174,dog-walking,moderate,1,0,1,0,1,1,1,1,2,32,0.15,19,"2015-07-12 06:03:52.282381"
77175,boarding,moderate,1,0,1,0,1,1,0,1,4,33,0.15,35,"2015-07-12 10:10:31.567994"
77176,dog-walking,flexible,1,0,1,0,1,0,1,1,4,33,0.15,21,"2015-07-12 10:10:31.567994"
77177,boarding,strict,1,0,1,1,1,1,0,1,2,34,0.15,29,"2015-07-12 16:22:02.050142"
77178,day-care,flexible,1,1,1,0,1,1,1,1,6,34,0.15,23,"2015-07-12 16:22:02.050142"
77179,boarding,flexible,1,0,1,0,1,1,0,1,4,35,0.15,36,"2015-07-12 13:46:33.482526"
77180,boarding,flexible,1,1,1,0,1,1,0,1,3,36,0.15,33,"2015-07-12 07:41:23.531917"
77181,day-care,strict,1,0,1,1,1,1,0,1,5,36,0.15,28,"2015-07-12 07:41:23.531917"
77182,boarding,strict,1,1,1,1,1,1,1,1,4,37,0.15,31,"2015-07-12 15:34:37.839157"
77183,day-care,strict,1,0,0,0,0,0,1,1,1,37,0.15,30,"2015-07-12 15:34:37.839157"
